date,reviewer,text,stars,company
2022-04-13T08:02:51.000Z,F.Arkin,"Bei Hypofriend wird man wirklich sehr gut beraten! Wir hatten eine tolle Beraterin, Kristina Morlang. Die sehr kompetente und besonders freundliche Expertin hat uns in unterschiedlichen Schritten für unsere Finanzierung begleitet. Mit viel Geduld, Transparenz und ihrer Erfahrung hat sie uns das Gefühl gegeben in guten Händen zu sein. Wir konnten ihr immer vertrauen und fühlten uns immer sehr gut beraten. Ganz besonders hat uns gefallen, dass sie sich mit allen Banken - und auch wenn diese im letzten Dorf liegen - sehr gut auskannte. Das heisst, es ging nicht nur darum, die besten Konditionen zu ermitteln, sondern auch was es dann im Verlauf für Schritte und Situationen zu beachten geben wird (Gutachten, persönliche Termine, Bearbeitungszeiten etc.). Gerade deswegen sind wir sehr froh darüber, dass wir bei Kristina beraten wurden. Hypofriend als auch Kristina können wir deswegen jederzeit wieder kontaktieren und wissen, dass uns hier wirklich geholfen wird! Danke!!!",5,/hypofriend.de?languages=de
2022-04-05T18:38:38.000Z,Nina,"Der Prozess eine Wohnung zu kaufen und in dem Rahmen einen Kredit aufzunehmen erfordert Vertrauen, das ich Helge ohne Zweifel entgegenbringen konnte. Ich habe mich zu jedem Zeitpunkt gut betreut gefühlt und bin sicher, dass sein Einsatz einen essentiellen Teil daran trägt, dass ich nun Wohnungsbesitzerin unter bestmöglichen Konditionen geworden bin. DANKE an Helge und Hypofriend!",5,/hypofriend.de?languages=de
2022-04-04T07:25:57.000Z,Dominik Böhme,"Ich kann mich den positiven Bewertungen nur anschließen! Ich hatte zunächst versucht ohne HIlfe bei meiner Hasubank einen Kredit zu bekommen. Leider musste ich dort dem zuständigen Mitarbeiter ständig hinterhertelefonieren. So wusste ich nicht wo ich welche Nachweise her bekomme die angefordert waren oder konnte verschiedene Formulare nicht korrekt ausfüllen. Wenn ich Fragen hatte konnte ich tagelang auf eine Antwort meiner Bank warten.Ich habe dann irgendwann aufgegeben und bin auf Hypofriend gestoßen. Hier habe ich mit Herrn Sven Gehle zusammengearbeitet was super war. Er hat sich die Zeit genommen mir dem Prozess genau zu erläutern, hat mir Formulare erklärt die ich nicht richtig verstanden habe und hat mich beim Einholen bestimmter Unterlagen wie Liegenschaftskarte und Grundbuchauszug unterstützt. So war der Kreditantrag sehr schnell komplett, bereits 2 Wochen später hatte ich die Zusage durch eine Bank. Das beste dabei war, das der Zins sogar einige Prozentpunkte niedriger war, als das Angebot meiner Hausbank, die sich leider überhaupt keine Mühe gegeben hatte mich zu unterstützen. Ich kann Hypofriend und speziell den Mitarbieter Sven Gehle also absolut weiterempfehlen!",5,/hypofriend.de?languages=de
2022-03-29T08:21:10.000Z,Hossein Mousavi Fatemi,"Frau Morlag, war sehr kompetent! Sie hat mir sehr interessante und gute Tips gegeben die mir bei der Entscheidung sehr geholfen haben.",5,/hypofriend.de?languages=de
2022-03-28T13:48:16.000Z,Ngoc Son Le,"Meine Erfahrung mit Hypofriend war Hervorragend. Speziell hier gilt der Dank an Herr Senker, dass ist meine aller erste Immobilienkauf und ich war super nervös wie die Dinge ablaufen wird. Durch die sehr kompetente Arbeit von Herr Senker, konnte diese Nervosität ziemlich schnell abgelegt werden. Gerne empfehle ich Herr Senker weiter und werde in Zukunft auf weitere Zusammenarbeit freuen.",5,/hypofriend.de?languages=de
2022-03-26T17:43:03.000Z,Johannes G.,"Sehr kompetente Beratung, freundlicher Bearbeiter und flexible auf meine Bedürfnisse zugeschnittene Angebote.",5,/hypofriend.de?languages=de
2022-03-14T22:05:46.000Z,V.F.,Tolle Beratung & Unterstützung von der ersten bis zur letzten Minute des Kreditverfahrens. Vielen Dank!,5,/hypofriend.de?languages=de
2022-03-10T15:44:57.000Z,Christopher Döring,Immer wieder! Super Betreuung.,5,/hypofriend.de?languages=de
2022-03-10T12:07:10.000Z,Joanna,Wir wurden sehr kompetent beraten. Vielen Dank für die schnellen Angebote.,5,/hypofriend.de?languages=de
2022-03-09T14:19:05.000Z,Schröder,"Wirklich sehr gute Beratung, die einem hilft die besten Angebote zur Finanzierung zu finden, aber auch bei allen anderen Fragen zur Seite steht.",5,/hypofriend.de?languages=de
2022-03-04T09:36:51.000Z,Monika Düwel,"In Person von Frau Nicole Weichert haben wir eine Finanzierungsvermittlung zum Erwerb eines mit einer Doppelhaushälfte bebauten Grundstücks in Berlin erhalten, die sich durch eine zielführende, schnelle und erfolgreiche Leistung auszeichnet. Im Vergleich zu früheren Erfahrungen, gerade auch mit Bankmitarbeiterinnen und -mitarbeitern, sind wir sehr zufrieden und dürfen vor allem auch die netten Umgangsformen und den hohen Zuverlässigkeitsgrad hervorheben. Unsere Weiterempfehlung ist daher uneingeschränkt!",5,/hypofriend.de?languages=de
2022-03-03T10:22:08.000Z,Marijana Macarie,"Hypofriend wurde uns für die Finanzierung einer Eigentumswohnung empfohlen, genauer gesagt Michael Senker. Wir hatten gleich beim ersten Gespräch ein sehr gutes Gefühl und haben uns entschieden, den Weg gemeinsam mit ihm zu gehen. Hypofriend haben wir als sehr professionell erlebt und für uns als englisch/deutsch-sprachigen Haushalt war dies zudem eine gute Wahl. Michael war auch sehr professionell, immer kurzfristig erreichbar und mit Rat und Tat an unserer Seite, auch bei Fragen, die über seinen grundlegenden Job hinausgingen; sein Wissen und seine Erfahrung waren regelrecht spürbar. Was wir zudem sehr schätzten war seine Schnelligkeit und seine Gabe die Dinge zu vereinfachen - das war ausschlaggebend für unseren Erfolg. Wir danken ihm für seine wunderbare Arbeit und können ihn und Hypofriend sehr empfehlen. Auch für uns wird das bei der nächsten Immobilie wieder die erste Adresse sein.",5,/hypofriend.de?languages=de
2022-02-23T17:53:34.000Z,Anna M,Schon eine zweite Finanzierung mit Hypofriend (mit Hilfe von Manuel) und wieder alles sauber gelaufen! Ich kann gerne weiterempfehlen,5,/hypofriend.de?languages=de
2022-02-16T17:19:15.000Z,Daniel H.,"Unkomplizierte Finanzierung, alles super. Freundlich und zuverlässig.",5,/hypofriend.de?languages=de
