date,reviewer,text,stars,company
2022-04-14T11:58:31.000Z,M.A.,"Grundlos gekündigt. Das Konto wurde ganz normal genutzt.Nun erhalte ich zuerst eine Kündigung mit einer Frist von 2 Monaten.Der Kundenservice gibt keine Auskunft auf meine Fragen dazu, ich erhalte keine Rückmeldung per Mail und auch telefonisch gibt es keine Auskunft darüber warum ich gekündigt wurde.Keine Woche später erhalte ich eine weitere Mail von N26. Diesmal mit einer fristlosen Kündigung!Der Login ist nicht mehr möglich, an das Guthaben komme ich nicht dran, die Karten sind gesperrt.Eine weitere Info zur Kündigung habe ich bisher nicht erhalten.Das absolutes No-Go. So ein Verhalten sollte eine seriöse Bank nicht an den Tag legen!",1,/n26.com?languages=de
2022-04-14T11:15:46.000Z,Cris Jaeg,,5,/n26.com?languages=de
2022-04-14T10:09:28.000Z,Tevano,"Kontoerstellen und alles Kein problem.Doch als mein Konto gepfändet wurde, habe ich gemerkt wie schlecht der Service der Bank ist. Wenn man kein smart oder Metall Account hat, dann hat man keine Möglichkeit die Bank telefonisch zu kontaktieren.Und der Chat Service war super schlecht und hat den ganzen Prozess nur unnötig lange hinausgezögert. Ich habe 3 Wochen nach der Pfändung immer noch keine zugriff auf mein Account, obwohl jetzt die Bank nur noch freigeben muss. Ich habe in der Zeit 3 Wochen lange nichts biss auf die wenigen Reste, die ich zu Hause hatte gegessen. Bin sogar im Krankenhaus gelandet, weil ich zu schwach geworden bin. Fazit: Die Bank sollte definitiv Ihren Service beschleunigen und für jeden eine Möglichkeit bieten die Servicehotline anzurufen, ohne erst mit dem nervigen Chat zu reden.",1,/n26.com?languages=de
2022-04-14T10:04:05.000Z,brandsandartnous,"Wenn du deine Selbstbestimmung und dein Geld abgeben willst, dann werde Kunde bei N26.",1,/n26.com?languages=de
2022-04-14T11:47:12.000Z,Dominika Dziegielewski,"Nie wieder. Man hat keine Möglichkeit telefonisch Kontakt aufzunehmen nicht einmal die Polizei hat eine Durchwahl und rät von der Bank ab. Es wird Betrügern leicht gemacht ein Konto zu eröffnen. Obwohl ich rechtzeitig einen Betrug gemeldet habe, ist man der Geschädigte. Das ist kein Service. Bei solchen Dingen geht es um Zeit. Die Bank erleichtert es mit Ihrer Arbeitsweise, das Betrüger das ausnutzen, da Banken zu lange brauchen um zu reagieren und alles sorgfältig prüfen müssen. Einfach nur enttäuschend. Deswegen funktionieren die Tricks der Betrüger.Man bekommt nur Standardantworten und bisher wurde mein Fall, den ich am 12.4 abends gemeldet habe immer noch nicht zufriedenstellend beantwortet und bearbeitet und jetzt kommen die Feiertage. Das Geld und die Betrüger sind jetzt über alle Berge. Danke für Nichts.",1,/n26.com?languages=de
2022-04-14T07:01:31.000Z,Sandra,"Wie dem Herren unter mir, wurde auch mein Konto vor 15 Tagen ohne triftigen Grund gekündigt. Dieses Konto ist, jetzt WAR mein Hauptkonto, mein ganzer Lohn für den kompletten Monat ist da drauf, es kann KEINE EINZIGE Rechnung bezahlt werden! Es werden bestimmt bald einige Mahnungen ins Haus flattern, da freu ich mich jetzt schon drauf...Geholfen wird hier einem NULL, ich habe ZIG Emails verschickt, einen Brief geschrieben, in der Hoffnung, dass der vll eher gelesen wird, als die Mails, aber PUSTEKUCHEN! Den Chat kann man knicken, werden nur noch von Bots gesteuert, habe ich das Gefühl. Die Antworten hier auf die ganzen Bewertungen vertrösten einen nur, so freundlich die sich auch anhören.Jedenfalls bereue ich es ohne Ende, dass ich zu dieser Bank gewechselt bin. Jetzt werden auch rechtliche Schritte eingeleitet, denn von deren Seite aus passiert einfach NICHTS!!!Überlegt es euch wirklich gut, ob ihr da hin wechseln wollt, ich kann euch davon nur abraten!!!Hat nicht mal einen Stern verdient!!!Mfg, Sandra (an die Bank: ihr kennt mich schon)",1,/n26.com?languages=de
2022-04-14T05:26:06.000Z,Darian Wiegand,Mein Konto wurde ohne nähere Angaben von Gründen gesperrt. Ich habe seit zwei Wochen keinen Zugriff auf mein Bank Guthaben und meine Mails vom Kunden Support werden nicht beantwortet. Mit so etwas hätte ich nie gerechnet. Nun musste ich die ganze Sache an einen Anwalt übergeben. Sehr sehr sehr anstrengend!,1,/n26.com?languages=de
2022-04-13T19:49:34.000Z,Tobias Menzel,Bisher war ich mit der N26 Bank Immer sehr zufrieden. Seit mehr als zwei Wochen warte ich nun dass meine Adresse von der Bank geändert wird. Leider bekommt man es dort nicht hin.,2,/n26.com?languages=de
2022-04-13T17:56:10.000Z,Gerald D.,"Perfektes, simples und günstiges Banking, toller online Support!",5,/n26.com?languages=de
2022-04-14T07:33:16.000Z,Petra Kirsten Lausberg,Kann mich nicht einloggen.... Aber weiss jetzt besser bescheid... Danke,4,/n26.com?languages=de
2022-04-13T08:02:35.000Z,Thomas Dornbusch,"Ich bin viele Jahre bei der N26 Bank die damals noch Wireless Bank hieß Kunde gewesen. In all den Jahren war ich super Zufrieden mit der Bank, vom Service bis hin zu allen was die Bank zu bieten hat. Im Dezember 2021 habe ich eine E-mail erhalten mit der gleichen Aufmachung und Design wie von der N26 Bank wo ich über den Link meine App aktualisieren soll. Habe ich gemacht und bin an meine Handy App weitergeleitet worden. alles erledigt habe ich gedacht. Ein Tag später habe ich eine Benachrichtigung erhalten das Ich 450 Euro mit Apple Pay eingezahlt haben soll. Ich habe ein Android Handy und kein Apple Handy. als ich die Bank App öffnete waren Tatsächlich 450 Euro eingezahlt worden und sofort wieder abgeholt worden von einer Bank in Barcelona, ich Wohne in Deutschland. Ich habe sofort am nächsten Morgen via Live Chat diesen Vorfall angesprochen das ich das nicht gewesen bin. Alles gut soweit es wird geprüft und ich sollte eine Anzeige bei der Polizei machen damit die N26 Bank Erlaubnis hat weiter Nachzuforschen, was ich dann auch gemacht habe. Ein paar Wochen später hab ich dann eine Mail von N26 erhalten wo man mich fristlos gekündigt hat wegen Verstoß der AGBs das traurige ist ich habe keine Auskunft darüber erhalten weswegen meine Bank App gesperrt so das ich den Live Chat fragen konnte keine Antwort auf meine E-mails und Telefonisch kann man die auch nicht erreichen. Kreditkarten gesperrt und das wars. Das finde ich keine nette Kündigung. Das heisst Wildfremde Menschen haben mein Konto gehackt Geld ein und auszahlen lassen und ich erhalte dafür noch eine Fristlose Kündigung. Vielen Dank N26Mit freundlichen GrußThomas.D.",1,/n26.com?languages=de
2022-04-13T07:48:25.000Z,Dagmar Sauter,"Ich versuche seit Wochen, mein Konto bei der N26 zu löschen. Ich kann mich nicht mehr anmelden. Alle Versuche, das Konto mit dem Handy zu koppeln, sind gescheitert. Auf Anfragen an den Support bekomme ich Mails in denen steht: wir haben eine Nachricht an Ihr Postfach gesendet.JA, GUT UND SCHÖN, ABER DARAUF KANN ICH NICHT ZUGREIFEN!!!! Hat in all den Wochen überhaupt irgend jemand den Inhalt meiner Mails gelesen? Der Support ist unterirdisch!!!Der Versuch, einen lebenden Menschen ans Telefon zu bekommen, unmöglich.  Ich komme nicht mehr an mein Geld. Dieses Verhalten ist eine bodenlose Schweinerei.",1,/n26.com?languages=de
2022-04-12T20:57:03.000Z,Mona Huang,,1,/n26.com?languages=de
2022-04-12T20:09:20.000Z,Philipp,"Ich bin seit 3 Jahren N26 Kunde und grundsätzlich zufrieden. Mit dem, wie man hört, schlechten Service hatte ich noch nichts zu tun.Nun wurde jedoch einem Kollegen von mir, der ebenfalls N26 Kunde ist, einfach so vor 10 Tagen das Konto gesperrt. Da es sein Gehaltskonto ist, ist das natürlich eine Katastrophe. An mangelnder Bonität kann es auch nicht liegen, er verdient als Elektroingenieur etwa 4500€ netto im Monat. Im Chat wird ihm auch nicht geholfen, lediglich vertröstet nach dem Motto ""Wir prüfen das und melden uns bei dir""... passiert ist aber nichts.Bisher kenne ich diese Horrorgeschichten über N26 nur aus Foren. Nun auch im persönlichen Umfeld.Ich habe mich daher entschieden, mein Konto zu dieser orangenen Direktbank mit der Werbung von Dirk Nowitzki umzuziehen, alle Lastschrifteinzüge von Versicherungen und Co umzustellen und N26 schnellstmöglich zu kündigen, um nicht selbst von sowas betroffen zu sein. Bank muss Vertrauen rüberbringen und das wurde hierdurch eindeutig beschädigt.",1,/n26.com?languages=de
2022-04-12T12:20:11.000Z,Wahrheit und Mut Weltfrieden,Die N26 ist eine Abzocker Bank ! Du wirst wie eine Nummer behandelt wenn du wirklich mal Hilfe brauchst bekommt man vorgefertigte antwortschreiben!Während corona wurde mein Dispo von 2500€ innerhalb von 6 Monaten auf 0 € gekürzt!!!! Unmöglich !!!!!!Wozu hat man denn einen Dispo ? Für schlechte Zeiten !!!! Aber die N26 Bank ist nur in Zeiten korrekt zu dir wo sie Geld aus dir ziehen kann. Wenn es einmal kriselt wirst du obendrein noch von deiner Bank im Stich gelassen. Nicht zu empfehlen ! Schrott Bank !!!Unmenschlich !!Jahrelange Treue und Zuverlässigkeit zählen nicht wenn’s drauf ankommt. Zusätzlich habe ich eben gelesen dass seit Februar 2022 die Geschäftsführung der N26 wegen Geldwäsche angeklagt ist !!!,5,/n26.com?languages=de
2022-04-12T10:29:25.000Z,miron keller,1 Stern ist schon Zuviel mit Abstand die schlechteste Bank bei der ich je warKein telefonischer Kontakt viel zu lange Bearbeitungszeiten Die Kundenservice Mitarbeiter haben keinerlei FachkenntnisAlles wird weitergeleitet dann werden Anliegen nicht richtig bearbeitet oder man bekommt von jedem Mitarbeiter eine andere Aussage !!!!,1,/n26.com?languages=de
2022-04-12T08:02:46.000Z,Krabben Suppe,"Mit Abstand die schlechteste Bank überhaupt. Du kannst telefo isch keinen erreichen. Chatmitarbeiter können auf Anfrage, keine vernünftige Aussage geben. AUF KEINEN FALL ZU EMPFEHLEN.",1,/n26.com?languages=de
2022-04-12T07:56:01.000Z,Tomler,"Ich habe ein Konto und mir wird durchgehend Geld von n26 abgebucht, wegen irgendwelcher Gebühren.  Das Konzept mit der App ist schon garnicht übel. Aber wenn hinter einem Konzept Gauner stecken, die sich, egal wie, an dem Geld Ihrer Kunden bereichern wollen, dann ist das Konzept für den Anleger kontraproduktiv. Und wenn du ein Problem hast, kannst du niemanden anrufen. NIEMANDEN ANRUFEN. Nur die Inkompetentesten Chat-Mitarbeiter, die nicht mal vernünftig Deutsch schreiben können, werden dir irgendwann nach Anfrage antworten. Und dann hilft das aber keiner S.au weiter.",2,/n26.com?languages=de
2022-04-12T05:53:35.000Z,Birgit Azeez,"Eine Mega Bank auch wenn es einem finanziell mal nicht so gut geht steht ihr noch zu euren Kunden und setzt sie nicht unter Druck oder lasst sie fallen. Einfache Kommunikation und kompromissbereit. Was kann man sich von einer Bank mehr wünschen, nichts! Mit Abstand die beste Bank.",5,/n26.com?languages=de
2022-04-12T05:38:11.000Z,Arno,"Ich bin vor ein paar Jahren von der Sparkasse zur N26 gewechselt. Der Grund war die steinzeitliche APP der Sparkasse.Bis heute habe ich den Wechsel nicht bereut.Weiter so,,, liebes N26 Team. Und Danke für den guten Service.",5,/n26.com?languages=de
2022-04-12T04:49:50.000Z,Rene,"Trotz Metal Kunde kommt am Telefon die Ansage einen Chat zu eröffnen. Im Chat haben die Kollegen zu wenig Fachkenntnis und leiten immer alles weiter. Dann gibts Rückfragen. Dauert alles zu lange! Einmal telefonieren und das wäre in Minuten erledigt! Von mir aus mit einem Telefontermin, wenn spontan keiner frei ist. So ist das Problem nun seit 1 Monat existent ohne Lösung, obwohl sowas alltägliches ein paar Klicks und das korrekte Lesen/Umsetzen von offiziellen Schreiben erfordert. Ja Service kostet, aber dafür habt ihr ja Premiumkonten. Bisher ist nur der Preis „premium“. Leider schwach!",2,/n26.com?languages=de
2022-04-11T22:17:44.000Z,ayoub tech,,1,/n26.com?languages=de
2022-04-11T19:41:17.000Z,Consumer,Behalten Geld ein ohne Grund.Wirecard sagt alles ☝🏽,1,/n26.com?languages=de
2022-04-11T09:25:22.000Z,Roger Kipka,Schnell unkompliziert,4,/n26.com?languages=de
2022-04-11T07:35:38.000Z,Kerstin Menz,,5,/n26.com?languages=de
2022-04-11T08:55:06.000Z,Home Office,"Man fühlt sich verarscht von A-Z.Ich habe meine LogIn Daten verloren und noch dazu eine neue Mailadresse.Die alte Mail-Adresse gibt es nicht mehr.Ich hatte N26 gebeten, die LogIn Daten an meine hinterlegte Wohnadresse zu senden.Das geht aber anscheinend nicht.Dann bot man mir einen Anruf an, es war eine Zeit ausgemacht, aber niemand rief an.Stattdessen kam eine Nachricht, dass man mich nicht erreichen konnte.Zwischen Anfragen und Antworten vergehen oft Tage und manchmal Wochen.N26 meint, es dauert länger, weil sie viel zu tun haben...Die sollen sich mal fragen, WARUM sie so viel zu tun haben.Es ist unglaublich!Man fühlt sich verarscht!Ich versuche nun seit Monaten (!) an meine Zugangsdaten zu gelangen, aber NIEMAND dort scheint dies lösen zu können.Ich bin froh, dass das Konto leer ist, aber ich habe bisher noch nie einen schlechteren Kundenservice erlebt.Ich werde das Konto nun einfach vergessen. Dann habt ihr eine Kontoleiche und ich werde es tunlichst vermeiden, jemals bei N26 einen Euro zu haben.Und ich werde auch mein Umfeld warnen.Echt: wenn man nicht wüsste, dass das ein Kundenservice sein soll, man hätte fast die Idee, bei der versteckten Kamera gelandet zu sein, so unsagbar schlecht ist der Support...Und nein, ich schreibe definitiv nicht mehr mit Bots und auch nicht 20 Minuten mit dem Support, der mir wieder sagt, dass man mich kontaktieren wird.Auf Wiedersehen!PS: wie ihr selbst sehen könnt, antwortete N26 mit der vorgefertigten Antwort ""Bitte hinterlass uns dazu eine Nachricht auf unseren Kanälen in den sozialen Netzwerken und wir sind dort sofort für dich da.""Tut man das, beginnt alles wieder von vorne und NICHTS wird gelöst. Die haben schon etliche Mails von mir, die könnten das auch so lösen... Nein... Sorry... Tschüss!",1,/n26.com?languages=de
2022-04-10T13:59:36.000Z,Birgit Duesing,Zufrieden  so weit   nur würde gerne   mit jemanden persönlich sprechen wenn es mit dem Chat nicht geklappt hat,4,/n26.com?languages=de
2022-04-10T12:05:24.000Z,Mareike Grosch,"Sehr freundlicher Service,  bin super zufrieden",5,/n26.com?languages=de
2022-04-10T07:34:28.000Z,Hans DI Freiberg,Verschlechterung durch 2 Wege Authentizifierung,3,/n26.com?languages=de
